Class,Subject,Book,Chapter,PDF URL,Book Index URL
Class X,Science,Science,Chapter 6,https://ncert.nic.in/textbook/pdf/jesc106.pdf,https://ncert.nic.in/textbook.php?jesc1=0-13
Class X,Science,Science,Chapter 7,https://ncert.nic.in/textbook/pdf/jesc107.pdf,https://ncert.nic.in/textbook.php?jesc1=0-13
Class X,Science,Science,Chapter 8,https://ncert.nic.in/textbook/pdf/jesc108.pdf,https://ncert.nic.in/textbook.php?jesc1=0-13
Class X,Science,Science,Chapter 9,https://ncert.nic.in/textbook/pdf/jesc109.pdf,https://ncert.nic.in/textbook.php?jesc1=0-13
Class X,Science,Science,Chapter 10,https://ncert.nic.in/textbook/pdf/jesc110.pdf,https://ncert.nic.in/textbook.php?jesc1=0-13
Class X,Science,Science,Chapter 11,https://ncert.nic.in/textbook/pdf/jesc111.pdf,https://ncert.nic.in/textbook.php?jesc1=0-13
Class X,Science,Science,Chapter 12,https://ncert.nic.in/textbook/pdf/jesc112.pdf,https://ncert.nic.in/textbook.php?jesc1=0-13
Class X,Science,Science,Chapter 13,https://ncert.nic.in/textbook/pdf/jesc113.pdf,https://ncert.nic.in/textbook.php?jesc1=0-13
Class X,Social Science,Contemporary India,Prelims,https://ncert.nic.in/textbook/pdf/jess1ps.pdf,https://ncert.nic.in/textbook.php?jess1=0-7
Class X,Social Science,Contemporary India,Chapter 1,https://ncert.nic.in/textbook/pdf/jess101.pdf,https://ncert.nic.in/textbook.php?jess1=0-7
Class X,Social Science,Contemporary India,Chapter 2,https://ncert.nic.in/textbook/pdf/jess102.pdf,https://ncert.nic.in/textbook.php?jess1=0-7
Class X,Social Science,Contemporary India,Chapter 3,https://ncert.nic.in/textbook/pdf/jess103.pdf,https://ncert.nic.in/textbook.php?jess1=0-7
Class X,Social Science,Contemporary India,Chapter 4,https://ncert.nic.in/textbook/pdf/jess104.pdf,https://ncert.nic.in/textbook.php?jess1=0-7
Class X,Social Science,Contemporary India,Chapter 5,https://ncert.nic.in/textbook/pdf/jess105.pdf,https://ncert.nic.in/textbook.php?jess1=0-7
Class X,Social Science,Contemporary India,Chapter 6,https://ncert.nic.in/textbook/pdf/jess106.pdf,https://ncert.nic.in/textbook.php?jess1=0-7
Class X,Social Science,Contemporary India,Chapter 7,https://ncert.nic.in/textbook/pdf/jess107.pdf,https://ncert.nic.in/textbook.php?jess1=0-7
Class X,Social Science,Democratic Politics,Prelims,https://ncert.nic.in/textbook/pdf/jess4ps.pdf,https://ncert.nic.in/textbook.php?jess4=0-5
Class X,Social Science,Democratic Politics,Chapter 1,https://ncert.nic.in/textbook/pdf/jess401.pdf,https://ncert.nic.in/textbook.php?jess4=0-5
Class X,Social Science,Democratic Politics,Chapter 2,https://ncert.nic.in/textbook/pdf/jess402.pdf,https://ncert.nic.in/textbook.php?jess4=0-5
Class X,Social Science,Democratic Politics,Chapter 3,https://ncert.nic.in/textbook/pdf/jess403.pdf,https://ncert.nic.in/textbook.php?jess4=0-5
Class X,Social Science,Democratic Politics,Chapter 4,https://ncert.nic.in/textbook/pdf/jess404.pdf,https://ncert.nic.in/textbook.php?jess4=0-5
Class X,Social Science,Democratic Politics,Chapter 5,https://ncert.nic.in/textbook/pdf/jess405.pdf,https://ncert.nic.in/textbook.php?jess4=0-5
Class X,Social Science,India and the Contemporary World-II,Prelims,https://ncert.nic.in/textbook/pdf/jess3ps.pdf,https://ncert.nic.in/textbook.php?jess3=0-5
Class X,Social Science,India and the Contemporary World-II,Chapter 1,https://ncert.nic.in/textbook/pdf/jess301.pdf,https://ncert.nic.in/textbook.php?jess3=0-5
Class X,Social Science,India and the Contemporary World-II,Chapter 2,https://ncert.nic.in/textbook/pdf/jess302.pdf,https://ncert.nic.in/textbook.php?jess3=0-5
Class X,Social Science,India and the Contemporary World-II,Chapter 3,https://ncert.nic.in/textbook/pdf/jess303.pdf,https://ncert.nic.in/textbook.php?jess3=0-5
Class X,Social Science,India and the Contemporary World-II,Chapter 4,https://ncert.nic.in/textbook/pdf/jess304.pdf,https://ncert.nic.in/textbook.php?jess3=0-5
Class X,Social Science,India and the Contemporary World-II,Chapter 5,https://ncert.nic.in/textbook/pdf/jess305.pdf,https://ncert.nic.in/textbook.php?jess3=0-5
Class X,Social Science,Understanding Economic Development,Prelims,https://ncert.nic.in/textbook/pdf/jess2ps.pdf,https://ncert.nic.in/textbook.php?jess2=0-5
Class X,Social Science,Understanding Economic Development,Chapter 1,https://ncert.nic.in/textbook/pdf/jess201.pdf,https://ncert.nic.in/textbook.php?jess2=0-5
Class X,Social Science,Understanding Economic Development,Chapter 2,https://ncert.nic.in/textbook/pdf/jess202.pdf,https://ncert.nic.in/textbook.php?jess2=0-5
Class X,Social Science,Understanding Economic Development,Chapter 3,https://ncert.nic.in/textbook/pdf/jess203.pdf,https://ncert.nic.in/textbook.php?jess2=0-5
Class X,Social Science,Understanding Economic Development,Chapter 4,https://ncert.nic.in/textbook/pdf/jess204.pdf,https://ncert.nic.in/textbook.php?jess2=0-5
Class X,Social Science,Understanding Economic Development,Chapter 5,https://ncert.nic.in/textbook/pdf/jess205.pdf,https://ncert.nic.in/textbook.php?jess2=0-5
